GCM_FANCL,KIAA0907 IKBKAP ZMYM2 ZFP14 CRNKL1 CCDC82 NAA25 ZNF655 ZNF512 FANCL ANKRD17 EPC2 CHTOP DMTF1 NCOA5 NAB1 LARS NAA30 USP37 LUC7L3 PATZ1 SS18L1 REPIN1 C2CD3
GNF2_CASP4,TCIRG1 SELL ELF4 HCLS1 ICAM3 HLA-B DAZAP2 WAS HSD17B11 IQGAP1 B2M STAT6 ACTR2 ZFP36L2 LAPTM5 CASP4 ARPC3 GMIP GMFG PSTPIP1 SH3BGRL3 ZCCHC6 CMTM6 RIN3
GNF2_MSN,RAP2B OSTF1 ADAM10 ELF4 HCLS1 CAPZA1 ITGB2 ARPC5 CLIC1 WAS IQGAP1 TGFB1 ACTR3 STAT6 PFN1 CDC42 ARPC2 LASP1 RAP1B MSN CAP1 ADAM8 EMP3 ZCCHC6
MODULE_372,FEN1 KIF11 POLA1 NPR1 MSH2 NUP50 SLC26A2 ECT2 ATAD2 CCNE2 DLEU1 ABCC4 RBM14 RCOR3 TWSG1 SOX8 FOXP2 COLEC11 CCNJ LARS C15orf34 KLHL2 ADAMTS13 RNF123
GCM_MYCL1,HMGXB3 CCL2 BCAT2 AQP7 ADCYAP1 MYCL1 APOC3 FUT2 EBI3 KRT83 MPP2 ASMT ZNF8 DRG2 HMGA2 NDUFA1 KRT35 IKBKE GRM4 BNIP1 IRF5 TMEM106A AVPR1B MVK UROD
GNF2_AF1Q,ADCY1 ASTN1 NCAN CLIP3 CSPG5 RTN1 TUBB ANK2 GPM6A GAD1 INA DYNC1I1 PTPRD GNAO1 STMN2 STMN4 KIF5C DCLK1 KIF3C RALYL MYT1L ATP9A MLLT11 GAP43 SOBP
GNF2_CDH11,FKBP9 PXDN COL3A1 FSTL1 SERPINH1 CALU SRPX SERPINE1 COL6A2 COL6A1 LOXL2 LAMB1 PTX3 THBS2 LOXL1 FN1 FBN1 RAI14 COL5A2 COL5A1 GFPT2 COL1A2 LAMC1 COL1A1 CDH11
GNF2_MATK,S1PR5 PRF1 CD247 KLRK1 TRD@ ZAP70 KLRD1 MATK KLRB1 ARHGEF3 IL2RB IL18RAP FAM108A1 GZMA PTPN4 PRKCH GZMH SUN2 CTSW GZMM RASSF1 PTGDR BTN3A3 NKG7 ARL4C
GNF2_MBD4,NSA2 CDV3 ING3 NACA SNX2 PTMA RSRC2 INTS8 RPS29 RPL34 JUND KIAA1033 FAU SCAF11 RPS23 RPL35A MBD4 DDX5 C10orf76 RPS8 UXT PAPOLA RPL22 PFDN5 UBA52
GNF2_SERPINI2,PNLIP CELA3A AQP8 CELA3B PDIA2 PRSS1 SPINK1 PRSS2 CTRC CELP PRSS3 CPA2 PLA2G1B CPA1 CTRL PNLIPRP1 PNLIPRP2 CELA2B CTRB1 CELA2A TRY6 SERPINI2 CEL CLPS CPB1
GNF2_SPRR1B,S100A7 CRNN SPINK5 LY6D SPRR2C PPL SPRR2A TGM1 TGM3 KRT4 SERPINB13 PITX1 IL1RN KRT13 CRCT1 EVPL RHCG PKP1 KRT16 SPRR1A SPRR1B SPRR3 CSTB CSTA RIEG2
